Customer ID,Sold Date,Subscription Status,Customer Source,Subscription Source,Latitude,Longitude,Customer Status,Zip Code
903752,2/21/2014,Frozen,GreenPestChesterCounty,Google,40.117165,-75.641289,Active,19425
903752,5/20/2014,Frozen,GreenPestChesterCounty,GreenPestChesterCounty,40.117165,-75.641289,Active,19425
903752,5/26/2022,Active,GreenPestChesterCounty,GreenPestChesterCounty,40.117165,-75.641289,Active,19425
903778,2/21/2014,Active,Yelp,Yelp,40.0509,-75.205475,Active,19119
903778,2/21/2014,Frozen,Yelp,Yelp,40.0509,-75.205475,Active,19119
903778,12/7/2023,Frozen,Yelp,Yelp,40.0509,-75.205475,Active,19119
903783,2/24/2014,Active,Home Advisors,Google Adwords - VERIFIED,40.014874,-75.274933,Active,19096
903783,2/24/2014,Frozen,Home Advisors,Google Adwords - VERIFIED,40.014874,-75.274933,Active,19096
903789,2/24/2014,Active,PC No TC,Home Advisors,40.674633,-75.537971,Active,18052
903789,9/15/2017,Frozen,PC No TC,PC No TC,40.674633,-75.537971,Active,18052
903883,7/26/2022,Active,Self Generated,Self Generated,39.902702,-75.312675,Active,19070
903902,9/11/2014,Frozen,Google,Google,40.549313,-74.727715,Active,8853
903902,6/3/2025,Active,Google,Google,40.549313,-74.727715,Active,8853
903913,2/27/2014,Active,Angi,Angi,40.198402,-75.324753,Active,19446
903920,3/5/2014,Frozen,TC no PC,Google,40.324005,-74.648071,Active,8540
903920,6/8/2015,Frozen,TC no PC,Google,40.324005,-74.648071,Active,8540
903920,3/11/2020,Frozen,TC no PC,TC no PC,40.324005,-74.648071,Active,8540
903920,9/16/2021,Frozen,TC no PC,TC no PC,40.324005,-74.648071,Active,8540
903921,2/27/2014,Frozen,Google,Google,39.820026,-75.468071,Active,19810
903921,2/27/2014,Active,Google,Google,39.820026,-75.468071,Active,19810
903923,3/31/2015,Frozen,Google,By The Way,40.528233,-75.495667,Active,18049
903923,3/31/2015,Frozen,Google,By The Way,40.528233,-75.495667,Active,18049
903923,2/28/2014,Frozen,Google,Google,40.528233,-75.495667,Active,18049
903923,2/3/2015,Frozen,Google,Google,40.528233,-75.495667,Active,18049
903923,3/11/2020,Active,Google,Google,40.528233,-75.495667,Active,18049
903926,4/1/2014,Active,Employee Referral,Employee Referral,40.16283,-75.376595,Active,19403
903999,5/27/2016,Frozen,TC no PC,Customer Call In,40.217304,-74.556427,Active,8520
903999,6/25/2015,Frozen,TC no PC,Google,40.217304,-74.556427,Active,8520
903999,3/4/2014,Active,TC no PC,Google,40.217304,-74.556427,Active,8520
904090,3/7/2014,Active,Customer Call In,Customer Call In,40.381882,-75.471169,Active,18073
904090,1/14/2015,Frozen,Customer Call In,Customer Call In,40.381882,-75.471169,Active,18073
904090,11/18/2021,Frozen,Customer Call In,Customer Call In,40.381882,-75.471169,Active,18073
904105,3/10/2014,Frozen,Yellow Pages,Yellow Pages,39.932728,-75.150032,Active,19147
904105,12/30/2015,Frozen,Yellow Pages,Yellow Pages,39.932728,-75.150032,Active,19147
904105,1/26/2020,Active,Yellow Pages,Yellow Pages,39.932728,-75.150032,Active,19147
904106,4/28/2015,Frozen,Previous Customer,Previous Customer,39.927502,-75.548347,Active,19382
904106,12/13/2019,Frozen,Previous Customer,Google,39.927502,-75.548347,Active,19382
904106,1/4/2020,Active,Previous Customer,Previous Customer,39.927502,-75.548347,Active,19382
904141,3/10/2014,Active,YB: Downingtown/Exton,YB: Downingtown/Exton,40.036861,-75.681602,Active,19335
904165,3/21/2016,Active,Google,Google,40.026752,-75.234566,Active,19004
904165,4/10/2014,Frozen,Google,Angi,40.026752,-75.234566,Active,19004
904165,4/10/2014,Frozen,Google,Angi,40.026752,-75.234566,Active,19004
