zip_code,state,county,lat,lon,city
19501,PA,Berks,40.2423,-76.0577,Adamstown
19503,PA,Berks,40.405,-75.5769,Bally
19504,PA,Berks,40.3815,-75.5749,Barto
19505,PA,Berks,40.3795,-75.6257,Bechtelsville
19506,PA,Berks,40.4551,-76.1247,Bernville
19507,PA,Berks,40.4808,-76.2742,Bethel
19508,PA,Berks,40.2563,-75.8344,Birdsboro
19510,PA,Berks,40.4435,-75.8837,Blandon
19511,PA,Berks,40.4821,-75.7435,Bowers
19512,PA,Berks,40.3339,-75.6604,Boyertown
19516,PA,Berks,40.4858,-76.006,Centerport
19518,PA,Berks,40.2709,-75.7397,Douglassville
19519,PA,Berks,40.319,-75.7334,Earlville
19520,PA,Berks,40.1568,-75.7866,Elverson
19522,PA,Berks,40.4473,-75.8185,Fleetwood
19523,PA,Berks,40.2026,-75.8363,Geigertown
19525,PA,Berks,40.3059,-75.5953,Gilbertsville
19526,PA,Berks,40.5488,-75.9874,Hamburg
19529,PA,Berks,40.6328,-75.8513,Kempton
19530,PA,Berks,40.5214,-75.7774,Kutztown
19533,PA,Berks,40.4152,-75.9944,Leesport
19534,PA,Berks,40.5736,-75.865,Lenhartsville
19535,PA,Berks,40.3356,-75.801,Limekiln
19536,PA,Berks,40.5218,-75.7419,Lyon Station
19538,PA,Berks,40.5426,-75.6888,Maxatawny
19539,PA,Berks,40.4992,-75.6872,Mertztown
19540,PA,Berks,40.2584,-75.9833,Mohnton
19541,PA,Berks,40.4783,-76.0125,Mohrsville
19543,PA,Berks,40.1552,-75.8998,Morgantown
19544,PA,Berks,40.4187,-76.2944,Mount Aetna
19545,PA,Berks,40.3397,-75.6302,New Berlinville
19547,PA,Berks,40.3833,-75.7706,Oley
19548,PA,Berks,40.2829,-75.6907,Pine Forge
19549,PA,Berks,40.5818,-76.0267,Port Clinton
19550,PA,Berks,40.4553,-76.2453,Rehrersburg
19551,PA,Berks,40.3553,-76.1366,Robesonia
19554,PA,Berks,40.5129,-76.1044,Shartlesville
19555,PA,Berks,40.4955,-75.9603,Shoemakersville
