Deal Count,Closed Won Count,Postal Code
1,1,19348
1,0,19425
1,1,19802
1,0,19711
1,1,19010
1,1,19085
1,1,19380
1,1,19083
1,1,19707
1,1,19425
1,1,19460
1,1,19087
1,1,19087
1,1,19380
1,0,19803
1,1,19087
1,1,19341
1,1,19014
1,0,19382
1,1,19342
1,1,19085
1,0,19014
1,0,19703
1,1,19348
1,1,19460
1,0,19382
1,0,19312
1,1,19720
1,0,19087
1,0,19702
1,0,19023
1,1,19808
1,1,19373
1,0,19977
1,0,19064
1,1,19335
1,1,19087
1,0,19333
1,0,19072
1,0,19041
1,0,19734
1,1,19380
1,0,19382
1,1,19711
1,1,19086
1,1,19711
1,0,19087
1,0,19801
1,0,19066
1,0,19809
1,1,19808
1,0,19934
1,1,19475
1,1,19382
1,1,19350
1,0,19934
1,1,19066
1,0,19087
1,0,19010
1,1,19341
1,1,19701
1,0,19063
1,0,19709
1,1,19063
1,0,19343
1,0,19709
1,0,19706
1,0,19317
1,1,19460
1,1,19943
1,1,19901
1,0,19808
1,1,19087
1,1,19475
1,1,19460
1,0,19425
1,1,19087
1,1,19087
1,1,19382
1,1,19041
1,0,19709
1,1,19010
1,0,19010
1,1,19350
1,1,19709
1,0,19372
1,1,19904
1,1,19709
1,1,19335
1,1,19355
1,1,19460
1,1,19808
1,0,19350
1,1,19807
1,1,19013
1,1,19060
1,0,19808
1,1,19350
1,1,19709
1,1,19808
1,0,19072
1,1,19425
1,1,19720
1,0,19026
1,1,19809
1,0,19380
1,1,19348
1,1,19342
1,0,19335
1,1,19086
1,1,19382
1,0,19805
1,1,19382
1,0,19809
1,1,19333
1,1,19810
1,0,19312
1,1,19355
1,0,19934
1,1,19904
1,1,19003
1,0,19711
1,1,19317
1,1,19083
1,1,19335
1,0,19064
1,1,19060
1,0,19380
1,0,19382
1,1,19938
1,1,19041
1,1,19807
1,1,19709
1,0,19701
1,1,19041
1,1,19008
1,1,19335
1,0,19709
1,0,19355
1,1,19317
1,1,19010
1,0,19083
1,0,19943
1,0,19801
1,0,19131
1,1,19425
1,1,19341
1,1,19083
1,1,19063
1,1,19701
1,0,19709
1,1,19083
1,1,19063
1,1,19087
1,0,19151
1,1,19380
1,0,19938
1,1,19702
1,1,19810
1,0,19977
1,0,19342
1,1,19311
1,0,19713
1,0,19085
1,0,19901
1,0,19382
1,0,19809
1,0,19977
1,0,19131
1,1,19380
1,0,19709
1,0,19701
1,1,19341
1,1,19709
1,1,19803
1,1,19317
1,0,19087
1,1,19085
1,0,19087
1,0,19050
1,1,19026
1,1,19938
1,0,19720
1,1,19087
1,1,19425
1,1,19701
1,1,19010
1,1,19083
1,0,19720
1,1,19382
1,1,19003
1,1,19943
1,1,19810
1,0,19350
1,1,19701
1,1,19380
1,1,19131
1,1,19070
1,1,19320
1,0,19382
1,0,19087
1,1,19709
1,0,19808
1,1,19010
1,0,19341
1,0,19701
1,0,19311
1,0,19312
1,0,19380
1,0,19425
1,0,19702
1,1,19703
1,0,19962
1,1,19465
1,1,19702
1,1,19063
1,0,19962
1,1,19382
1,0,19962
1,1,19810
1,1,19041
1,0,19104
1,0,19380
1,0,19709
1,0,19335
1,1,19425
1,1,19380
1,0,19711
1,0,19382
1,1,19373
1,1,19350
1,0,19734
1,1,19904
1,0,19010
1,1,19035
1,1,19083
