geoid,name,county_name,state_name,geometry,population,median_income,median_age,housing_units,median_home_value,density,city
34019011400,114.0,Hunterdon,New Jersey,"{""type"": ""Polygon"", ""coordinates"": [[[-74.868104, 40.511684], [-74.868512, 40.514757], [-74.867453, 40.517976], [-74.863446, 40.518871], [-74.86079, 40.518494], [-74.858104, 40.516981], [-74.856269, 40.518165], [-74.853891, 40.518652], [-74.85387, 40.518437], [-74.851104, 40.503609], [-74.850008, 40.497491], [-74.855828, 40.499366], [-74.859277, 40.500478], [-74.867238, 40.500483], [-74.867543, 40.503063], [-74.869216, 40.50678], [-74.868104, 40.511684]]]}",4864.0,85306.0,32.4,2023.0,377900.0,4514.182553529696,Flemington
34019011900,119.0,Hunterdon,New Jersey,"{""type"": ""Polygon"", ""coordinates"": [[[-74.9542604530821, 40.3765473382118], [-74.950684, 40.377748], [-74.949052, 40.378631], [-74.947925, 40.379159], [-74.947918, 40.380412], [-74.94761, 40.384124], [-74.946585, 40.38565], [-74.934539, 40.368358], [-74.932744, 40.365898], [-74.930631, 40.364075], [-74.931696, 40.361001], [-74.93969, 40.359028], [-74.940303, 40.355694], [-74.9459690110937, 40.3553891100019], [-74.946024, 40.355892], [-74.948722, 40.364768], [-74.9487886081638, 40.3649105110839], [-74.9528267618004, 40.373550317657], [-74.953939, 40.37593], [-74.9542604530821, 40.3765473382118]]]}",4127.0,102482.0,54.8,2178.0,533800.0,3806.208768717451,Lambertville
34021001800,18.0,Mercer,New Jersey,"{""type"": ""Polygon"", ""coordinates"": [[[-74.754948, 40.237705], [-74.750689, 40.241872], [-74.748942, 40.239811], [-74.742449, 40.245039], [-74.735911, 40.243274], [-74.735659, 40.243205], [-74.731791, 40.242192], [-74.733453, 40.240848], [-74.734695, 40.239427], [-74.737097, 40.239454], [-74.737467, 40.237614], [-74.743179, 40.234713], [-74.744263, 40.233386], [-74.746835, 40.235438], [-74.747388, 40.236411], [-74.749471, 40.23555], [-74.752297, 40.236909], [-74.754948, 40.237705]]]}",4579.0,46302.0,40.6,1904.0,101300.0,10227.193242288356,Trenton
34021002000,20.0,Mercer,New Jersey,"{""type"": ""Polygon"", ""coordinates"": [[[-74.758889, 40.226383], [-74.75697, 40.228285], [-74.752756, 40.22838], [-74.749011, 40.231456], [-74.748441, 40.230133], [-74.746202, 40.227706], [-74.74949, 40.225636], [-74.749144, 40.224258], [-74.750298, 40.223354], [-74.750955, 40.222787], [-74.751909, 40.221858], [-74.754581, 40.222944], [-74.753079, 40.225932], [-74.758803, 40.224281], [-74.758889, 40.226383]]]}",1555.0,42838.0,30.6,650.0,85000.0,7859.967273584205,Trenton
34021003602,36.02,Mercer,New Jersey,"{""type"": ""Polygon"", ""coordinates"": [[[-74.79389, 40.264454], [-74.78979, 40.263744], [-74.788507, 40.263556], [-74.781909, 40.263779], [-74.781569, 40.263121], [-74.780626, 40.261381], [-74.779302, 40.258116], [-74.778729, 40.256985], [-74.777522, 40.254941], [-74.777284, 40.2531], [-74.777179, 40.252798], [-74.77575, 40.249887], [-74.789728, 40.252275], [-74.792707, 40.255523], [-74.795927, 40.259019], [-74.79389, 40.264454]]]}",2928.0,76351.0,33.0,1189.0,208200.0,4390.895676191149,Ewing
34021002602,26.02,Mercer,New Jersey,"{""type"": ""Polygon"", ""coordinates"": [[[-74.721053, 40.205237], [-74.719869, 40.204726], [-74.717103, 40.209019], [-74.715445, 40.208369], [-74.714455, 40.206175], [-74.713981, 40.201824], [-74.712418, 40.199649], [-74.711998, 40.199239], [-74.709656, 40.197491], [-74.701676, 40.194027], [-74.70401, 40.1897], [-74.705496, 40.18848], [-74.717057, 40.193271], [-74.719344, 40.19422], [-74.726928, 40.197346], [-74.721053, 40.205237]]]}",4688.0,86250.0,33.7,1766.0,224400.0,6284.9373904536415,Hamilton
34021000200,2.0,Mercer,New Jersey,"{""type"": ""Polygon"", ""coordinates"": [[[-74.75286, 40.206276], [-74.752101, 40.206402], [-74.750188, 40.205445], [-74.747683, 40.20437], [-74.743673, 40.202664], [-74.746539, 40.199359], [-74.746598, 40.199208], [-74.75098, 40.198606], [-74.752681, 40.198364], [-74.754424, 40.206021], [-74.75286, 40.206276]]]}",3437.0,72133.0,44.0,1598.0,120200.0,17795.143370182534,Trenton
34025809704,8097.04,Monmouth,New Jersey,"{""type"": ""Polygon"", ""coordinates"": [[[-74.290268, 40.293622], [-74.287032, 40.302721], [-74.284472, 40.308179], [-74.28163, 40.304871], [-74.279416, 40.303645], [-74.266396, 40.310881], [-74.266081, 40.311672], [-74.264985, 40.313056], [-74.263194, 40.314871], [-74.262448, 40.315441], [-74.25842, 40.312335], [-74.250618, 40.309717], [-74.246592, 40.308227], [-74.243358, 40.306035], [-74.236919, 40.299335], [-74.23416, 40.295242], [-74.229506, 40.285428], [-74.227953, 40.282752], [-74.236123, 40.285321], [-74.243951, 40.288466], [-74.257169, 40.293112], [-74.25728, 40.293137], [-74.260675, 40.29388], [-74.262178, 40.295148], [-74.264883, 40.294354], [-74.269221, 40.295588], [-74.275314, 40.294976], [-74.278972, 40.294518], [-74.284718, 40.292957], [-74.286601, 40.292587], [-74.289098, 40.293614], [-74.290268, 40.293622]]]}",6302.0,188542.0,42.6,1918.0,623300.0,2004.67513826053,Marlboro
34025800702,8007.02,Monmouth,New Jersey,"{""type"": ""Polygon"", ""coordinates"": [[[-74.134183, 40.410692], [-74.126529, 40.413626], [-74.123469, 40.41344], [-74.116017, 40.413145], [-74.109366, 40.413771], [-74.108155, 40.418559], [-74.107346, 40.419842], [-74.103146, 40.425939], [-74.099575, 40.423733], [-74.096869, 40.42244], [-74.09463, 40.421609], [-74.097749, 40.415778], [-74.1015, 40.412582], [-74.102798, 40.411994], [-74.108404, 40.40793], [-74.108653, 40.407621], [-74.112612, 40.398093], [-74.122039, 40.401183], [-74.124558, 40.402663], [-74.133099, 40.410145], [-74.134183, 40.410692]]]}",3753.0,138412.0,40.3,1435.0,536200.0,2628.2742148023567,Middletown
34025804200,8042.0,Monmouth,New Jersey,"{""type"": ""Polygon"", ""coordinates"": [[[-74.063696, 40.338322], [-74.062433, 40.338878], [-74.062029, 40.338975], [-74.058462, 40.340648], [-74.056147, 40.341791], [-74.056358, 40.342352], [-74.052149, 40.344702], [-74.052461, 40.346764], [-74.051136, 40.347982], [-74.037668, 40.352242], [-74.031766, 40.346824], [-74.032982, 40.346263], [-74.031502, 40.344469], [-74.025595, 40.338497], [-74.018918, 40.339362], [-74.009454, 40.339254], [-74.004736, 40.339587], [-74.003188, 40.339947], [-74.00371, 40.337714], [-74.002658, 40.334039], [-74.004925, 40.33386], [-74.01272, 40.331166], [-74.013976, 40.330425], [-74.01982, 40.325295], [-74.022317, 40.323512], [-74.027258, 40.323425], [-74.029386, 40.322382], [-74.032923, 40.322618], [-74.036219, 40.322054], [-74.040913, 40.320413], [-74.042989, 40.325989], [-74.045345, 40.32549], [-74.04641, 40.325487], [-74.047092, 40.329805], [-74.059215, 40.336065], [-74.063691, 40.338267], [-74.063696, 40.338322]]]}",6104.0,216974.0,46.3,2338.0,817200.0,2250.71591559079,Little Silver
