zip_code,city,lat,lon,median_income,population,density,median_age,housing_units,state,county,pop_color,income_color,age_color,housing_color,density_color
07001,Avenel,40.5826,-74.2785,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07002,Bayonne,40.6664,-74.1192,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07003,Bloomfield,40.8035,-74.1891,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07004,Fairfield,40.8822,-74.296,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07005,Boonton,40.9115,-74.414,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07006,Caldwell,40.8545,-74.2789,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07007,Caldwell,40.8398,-74.2765,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07008,Carteret,40.5823,-74.2313,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07009,Cedar Grove,40.8534,-74.2297,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07010,Cliffside Park,40.8222,-73.988,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07011,Clifton,40.8789,-74.1425,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07012,Clifton,40.8488,-74.1612,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07013,Clifton,40.8693,-74.1711,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07014,Clifton,40.8344,-74.1377,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07015,Clifton,40.8584,-74.1638,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07016,Cranford,40.6554,-74.3057,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07017,East Orange,40.7696,-74.2077,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07018,East Orange,40.7558,-74.2198,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07019,East Orange,40.7673,-74.2049,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07020,Edgewater,40.8317,-73.9738,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07021,Essex Fells,40.8279,-74.2797,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07022,Fairview,40.817,-74.0,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07023,Fanwood,40.6419,-74.3868,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07024,Fort Lee,40.8503,-73.9745,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07026,Garfield,40.8789,-74.1081,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07027,Garwood,40.6512,-74.3239,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07028,Glen Ridge,40.804,-74.2055,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07029,Harrison,40.7445,-74.1508,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07030,Hoboken,40.7445,-74.0329,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07031,North Arlington,40.7898,-74.1343,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07032,Kearny,40.7647,-74.1471,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07033,Kenilworth,40.6759,-74.2944,78522.0,16337.0,1219.0,,6731.0,,,,,,,
07034,Lake Hiawatha,40.8825,-74.383,78522.0,16337.0,1219.0,,6731.0,,,,,,,
