zip_code,state,county,lat,lon,city,population,median_income,median_age,housing_units,density,pop_color,income_color,age_color,housing_color,density_color
19501,PA,Berks,40.2423,-76.0577,Adamstown,13363.0,68002.0,41.0,4695.0,731.0,#9acade,#00cf00,#ffa900,#ff9672,#dc9fdc
19503,PA,Berks,40.405,-75.5769,Bally,19140.0,59542.0,40.0,4313.0,615.0,#87bcd6,#00dd00,#ffac00,#ff9974,#dc9fdc
19504,PA,Berks,40.3815,-75.5749,Barto,11023.0,66051.0,42.0,7789.0,797.0,#a2d0e1,#00d200,#ffa500,#ff8061,#dc9edc
19505,PA,Berks,40.3795,-75.6257,Bechtelsville,19435.0,68792.0,40.0,7502.0,731.0,#86bbd6,#00ce00,#ffac00,#ff8263,#dc9fdc
19506,PA,Berks,40.4551,-76.1247,Bernville,14247.0,67803.0,43.0,7787.0,655.0,#97c8dd,#00cf00,#ffa200,#ff8061,#dc9fdc
19507,PA,Berks,40.4808,-76.2742,Bethel,11065.0,70353.0,41.0,6114.0,795.0,#a1cfe1,#00cb00,#ffa900,#ff8c6b,#dc9edc
19508,PA,Berks,40.2563,-75.8344,Birdsboro,15586.0,60199.0,37.0,5128.0,596.0,#92c4db,#00dc00,#ffb600,#ff9370,#dc9fdc
19510,PA,Berks,40.4435,-75.8837,Blandon,13490.0,59065.0,37.0,4838.0,3225.0,#99cade,#00dd00,#ffb600,#ff9571,#d89ad8
19511,PA,Berks,40.4821,-75.7435,Bowers,11577.0,69252.0,39.0,5830.0,864.0,#a0cee0,#00cd00,#ffaf00,#ff8e6c,#db9edb
19512,PA,Berks,40.3339,-75.6604,Boyertown,11180.0,68361.0,37.0,4208.0,727.0,#a1cfe1,#00ce00,#ffb600,#ff9a75,#dc9fdc
19516,PA,Berks,40.4858,-76.006,Centerport,14796.0,67356.0,39.0,5515.0,2661.0,#95c6dc,#00d000,#ffaf00,#ff906e,#d99bd9
19518,PA,Berks,40.2709,-75.7397,Douglassville,16086.0,68558.0,43.0,6397.0,785.0,#91c3da,#00ce00,#ffa200,#ff8a69,#dc9edc
19519,PA,Berks,40.319,-75.7334,Earlville,14610.0,66166.0,41.0,4805.0,843.0,#96c7dc,#00d200,#ffa900,#ff9572,#dc9edc
19520,PA,Berks,40.1568,-75.7866,Elverson,18217.0,63718.0,39.0,6843.0,747.0,#8abed7,#00d600,#ffaf00,#ff8767,#dc9edc
19522,PA,Berks,40.4473,-75.8185,Fleetwood,27376.0,58578.0,41.0,10521.0,1405.0,#6ba8cb,#00de00,#ffa900,#ff6c53,#db9ddb
19523,PA,Berks,40.2026,-75.8363,Geigertown,19013.0,70896.0,42.0,7416.0,1082.0,#87bcd6,#00ca00,#ffa500,#ff8363,#db9edb
19525,PA,Berks,40.3059,-75.5953,Gilbertsville,18435.0,54672.0,40.0,7067.0,529.0,#89bed7,#00e500,#ffac00,#ff8565,#dc9fdc
19526,PA,Berks,40.5488,-75.9874,Hamburg,15854.0,66367.0,40.0,5118.0,584.0,#92c4db,#00d200,#ffac00,#ff9370,#dc9fdc
19529,PA,Berks,40.6328,-75.8513,Kempton,10507.0,65640.0,41.0,7208.0,623.0,#a3d1e2,#00d300,#ffa900,#ff8465,#dc9fdc
19530,PA,Berks,40.5214,-75.7774,Kutztown,13464.0,53720.0,42.0,6381.0,788.0,#99cade,#00e600,#ffa500,#ff8a69,#dc9edc
19533,PA,Berks,40.4152,-75.9944,Leesport,15518.0,69077.0,41.0,5647.0,718.0,#93c5db,#00cd00,#ffa900,#ff8f6d,#dc9fdc
19534,PA,Berks,40.5736,-75.865,Lenhartsville,18125.0,50763.0,39.0,6586.0,1411.0,#8abed8,#00eb00,#ffaf00,#ff8968,#db9ddb
19535,PA,Berks,40.3356,-75.801,Limekiln,17940.0,55288.0,37.0,7154.0,553.0,#8bbfd8,#00e400,#ffb600,#ff8465,#dc9fdc
19536,PA,Berks,40.5218,-75.7419,Lyon Station,11747.0,70784.0,39.0,6289.0,539.0,#9fcee0,#00ca00,#ffaf00,#ff8b6a,#dc9fdc
19538,PA,Berks,40.5426,-75.6888,Maxatawny,13373.0,68421.0,43.0,5490.0,875.0,#9acade,#00ce00,#ffa200,#ff906e,#db9edb
