zip_code,state,population,median_income,median_age,housing_units,density,region,density_category,income_category,lat,lon,pop_color,income_color,age_color,housing_color,density_color
19710,DE,24571,80927,39,9445,10107,North DE,Dense Urban,High,39.7898,-75.5891,#79b2d1,#00ba00,#ffaf00,#ff7559,#cd8dcd
19715,DE,33387,71921,35,14190,14235,North DE,Dense Urban,Medium,39.5645,-75.597,#5b9cc4,#00c900,#ffbd00,#ff533f,#c785c7
19720,DE,34858,78062,36,14768,3585,North DE,Urban,High,39.5929,-75.6515,#5698c2,#00bf00,#ffba00,#ff4f3c,#d799d7
19725,DE,39739,55754,38,15669,5054,North DE,Dense Urban,Medium,39.5645,-75.597,#458cbc,#00e300,#ffb300,#ff4837,#d597d5
19730,DE,18706,70450,40,7262,4270,North DE,Urban,Medium,39.4592,-75.6536,#8dc1d9,#00cb00,#ffac00,#ff8565,#d698d6
19735,DE,15926,61496,41,6438,2406,North DE,Urban,Medium,39.8029,-75.5916,#97c8dd,#00d900,#ffa900,#ff8b6a,#d99cd9
19810,DE,38731,55390,39,16414,8462,North DE,Dense Urban,Medium,39.8188,-75.5064,#488ebd,#00e300,#ffaf00,#ff4333,#d090d0
19850,DE,38272,84373,38,14839,5723,North DE,Dense Urban,High,39.5645,-75.597,#4a90be,#00b400,#ffb300,#ff4e3c,#d495d4
19880,DE,11619,75252,39,4814,1601,North DE,Suburban,High,39.5645,-75.597,#a6d3e3,#00c300,#ffaf00,#ff9773,#da9dda
19885,DE,37037,52162,40,13910,16171,North DE,Dense Urban,Medium,39.7459,-75.5466,#4e93bf,#00e900,#ffac00,#ff5541,#c482c4
19890,DE,27015,80047,39,10930,2757,North DE,Urban,High,39.5645,-75.597,#71accd,#00bb00,#ffaf00,#ff6b51,#d99bd9
19895,DE,17896,82508,37,7735,2178,North DE,Urban,High,39.7459,-75.5466,#90c3da,#00b700,#ffb600,#ff8263,#da9cda
19930,DE,38228,86521,38,15133,5284,North DE,Dense Urban,High,38.531,-75.0674,#4a90be,#00b100,#ffb300,#ff4c3a,#d596d5
19930,DE,38228,86521,38,15133,5284,North DE,Dense Urban,High,38.531,-75.0674,#4a90be,#00b100,#ffb300,#ff4c3a,#d596d5
19930,DE,22961,66253,46,9323,708,South DE,Suburban,Medium,38.531,-75.0674,#7fb6d3,#00d200,#ff9700,#ff765a,#dc9fdc
19930,DE,22961,66253,46,9323,708,South DE,Suburban,Medium,38.531,-75.0674,#7fb6d3,#00d200,#ff9700,#ff765a,#dc9fdc
19938,DE,23810,51852,42,10451,840,South DE,Suburban,Medium,39.2564,-75.6904,#7cb4d2,#00e900,#ffa500,#ff6e54,#dc9edc
19940,DE,35000,81300,37,14186,16082,North DE,Dense Urban,High,38.477,-75.5759,#5598c2,#00b900,#ffb600,#ff533f,#c482c4
19945,DE,25352,71446,34,10102,2879,North DE,Urban,Medium,38.5177,-75.2006,#76b0d0,#00c900,#ffc100,#ff7156,#d89bd8
