nearest_gmb,Year,total_leads,google_leads,google_share,yoy_total,yoy_google
"Allentown, PA",2008,9,0,0.0,,
"Allentown, PA",2009,4,1,0.25,-0.556,inf
"Allentown, PA",2010,10,1,0.1,1.5,0.0
"Allentown, PA",2011,11,1,0.091,0.1,0.0
"Allentown, PA",2012,23,2,0.087,1.091,1.0
"Allentown, PA",2013,38,4,0.105,0.652,1.0
"Allentown, PA",2014,39,6,0.154,0.026,0.5
"Allentown, PA",2015,47,11,0.234,0.205,0.833
"Allentown, PA",2016,48,15,0.312,0.021,0.364
"Allentown, PA",2017,77,22,0.286,0.604,0.467
"Allentown, PA",2018,92,21,0.228,0.195,-0.045
"Allentown, PA",2019,114,28,0.246,0.239,0.333
"Allentown, PA",2020,195,42,0.215,0.711,0.5
"Allentown, PA",2021,328,87,0.265,0.682,1.071
"Allentown, PA",2022,453,111,0.245,0.381,0.276
"Allentown, PA",2023,386,90,0.233,-0.148,-0.189
"Allentown, PA",2024,397,75,0.189,0.028,-0.167
"Allentown, PA",2025,501,106,0.212,0.262,0.413
"Bethlehem, PA",2008,3,0,0.0,,
"Bethlehem, PA",2009,3,0,0.0,0.0,
"Bethlehem, PA",2010,5,0,0.0,0.667,
"Bethlehem, PA",2011,6,2,0.333,0.2,inf
"Bethlehem, PA",2012,11,1,0.091,0.833,-0.5
"Bethlehem, PA",2013,26,6,0.231,1.364,5.0
"Bethlehem, PA",2014,28,4,0.143,0.077,-0.333
"Bethlehem, PA",2015,32,4,0.125,0.143,0.0
"Bethlehem, PA",2016,50,15,0.3,0.562,2.75
"Bethlehem, PA",2017,79,21,0.266,0.58,0.4
"Bethlehem, PA",2018,90,25,0.278,0.139,0.19
"Bethlehem, PA",2019,107,28,0.262,0.189,0.12
"Bethlehem, PA",2020,118,19,0.161,0.103,-0.321
"Bethlehem, PA",2021,204,66,0.324,0.729,2.474
"Bethlehem, PA",2022,363,117,0.322,0.779,0.773
"Bethlehem, PA",2023,324,93,0.287,-0.107,-0.205
"Bethlehem, PA",2024,354,87,0.246,0.093,-0.065
"Bethlehem, PA",2025,521,106,0.203,0.472,0.218
"Bowmansville, PA",2004,2,0,0.0,,
"Bowmansville, PA",2005,5,0,0.0,1.5,
"Bowmansville, PA",2006,5,0,0.0,0.0,
"Bowmansville, PA",2007,4,0,0.0,-0.2,
"Bowmansville, PA",2008,18,0,0.0,3.5,
"Bowmansville, PA",2009,8,1,0.125,-0.556,inf
"Bowmansville, PA",2010,8,0,0.0,0.0,-1.0
"Bowmansville, PA",2011,19,2,0.105,1.375,inf
"Bowmansville, PA",2012,22,4,0.182,0.158,1.0
"Bowmansville, PA",2013,14,2,0.143,-0.364,-0.5
"Bowmansville, PA",2014,17,2,0.118,0.214,0.0
"Bowmansville, PA",2015,20,4,0.2,0.176,1.0
"Bowmansville, PA",2016,34,11,0.324,0.7,1.75
"Bowmansville, PA",2017,35,6,0.171,0.029,-0.455
"Bowmansville, PA",2018,47,11,0.234,0.343,0.833
"Bowmansville, PA",2019,62,18,0.29,0.319,0.636
"Bowmansville, PA",2020,86,27,0.314,0.387,0.5
"Bowmansville, PA",2021,198,69,0.348,1.302,1.556
"Bowmansville, PA",2022,388,107,0.276,0.96,0.551
"Bowmansville, PA",2023,268,74,0.276,-0.309,-0.308
"Bowmansville, PA",2024,181,29,0.16,-0.325,-0.608
"Bowmansville, PA",2025,234,61,0.261,0.293,1.103
"Doylestown, PA",2008,95,3,0.032,,
"Doylestown, PA",2009,26,1,0.038,-0.726,-0.667
"Doylestown, PA",2010,40,1,0.025,0.538,0.0
"Doylestown, PA",2011,48,1,0.021,0.2,0.0
"Doylestown, PA",2012,55,7,0.127,0.146,6.0
"Doylestown, PA",2013,45,11,0.244,-0.182,0.571
"Doylestown, PA",2014,25,5,0.2,-0.444,-0.545
"Doylestown, PA",2015,27,6,0.222,0.08,0.2
"Doylestown, PA",2016,55,11,0.2,1.037,0.833
"Doylestown, PA",2017,41,12,0.293,-0.255,0.091
"Doylestown, PA",2018,65,12,0.185,0.585,0.0
"Doylestown, PA",2019,90,23,0.256,0.385,0.917
"Doylestown, PA",2020,150,31,0.207,0.667,0.348
"Doylestown, PA",2021,189,47,0.249,0.26,0.516
"Doylestown, PA",2022,314,43,0.137,0.661,-0.085
"Doylestown, PA",2023,260,39,0.15,-0.172,-0.093
"Doylestown, PA",2024,295,14,0.047,0.135,-0.641
"Doylestown, PA",2025,287,42,0.146,-0.027,2.0
"Hillsborough Township, NJ",2009,1,0,0.0,,
"Hillsborough Township, NJ",2011,33,0,0.0,32.0,
"Hillsborough Township, NJ",2012,48,2,0.042,0.455,inf
"Hillsborough Township, NJ",2013,109,14,0.128,1.271,6.0
"Hillsborough Township, NJ",2014,162,13,0.08,0.486,-0.071
"Hillsborough Township, NJ",2015,165,14,0.085,0.019,0.077
"Hillsborough Township, NJ",2016,155,20,0.129,-0.061,0.429
"Hillsborough Township, NJ",2017,153,35,0.229,-0.013,0.75
"Hillsborough Township, NJ",2018,199,34,0.171,0.301,-0.029
"Hillsborough Township, NJ",2019,241,37,0.154,0.211,0.088
"Hillsborough Township, NJ",2020,401,62,0.155,0.664,0.676
"Hillsborough Township, NJ",2021,723,159,0.22,0.803,1.565
"Hillsborough Township, NJ",2022,859,179,0.208,0.188,0.126
"Hillsborough Township, NJ",2023,676,153,0.226,-0.213,-0.145
"Hillsborough Township, NJ",2024,592,96,0.162,-0.124,-0.373
"Hillsborough Township, NJ",2025,722,122,0.169,0.22,0.271
"Lancaster, PA",2012,2,0,0.0,,
"Lancaster, PA",2013,3,0,0.0,0.5,
"Lancaster, PA",2016,2,2,1.0,-0.333,inf
"Lancaster, PA",2017,1,0,0.0,-0.5,-1.0
"Lancaster, PA",2018,6,1,0.167,5.0,inf
"Lancaster, PA",2019,15,5,0.333,1.5,4.0
"Lancaster, PA",2020,9,4,0.444,-0.4,-0.2
"Lancaster, PA",2021,28,12,0.429,2.111,2.0
"Lancaster, PA",2022,250,44,0.176,7.929,2.667
"Lancaster, PA",2023,136,35,0.257,-0.456,-0.205
"Lancaster, PA",2024,71,13,0.183,-0.478,-0.629
"Lancaster, PA",2025,108,27,0.25,0.521,1.077
"Langhorne, PA",2008,153,2,0.013,,
