Year,total_leads,google_leads,google_share,yoy_total,yoy_google
2003,1,0,0.0,,
2004,39,1,0.026,38.0,inf
2005,57,2,0.035,0.462,1.0
2006,77,0,0.0,0.351,-1.0
2007,175,3,0.017,1.273,inf
2008,163,6,0.037,-0.069,1.0
2009,83,9,0.108,-0.491,0.5
2010,99,4,0.04,0.193,-0.556
2011,178,13,0.073,0.798,2.25
2012,227,27,0.119,0.275,1.077
2013,325,53,0.163,0.432,0.963
2014,418,50,0.12,0.286,-0.057
2015,370,58,0.157,-0.115,0.16
2016,452,79,0.175,0.222,0.362
2017,558,113,0.203,0.235,0.43
2018,935,138,0.148,0.676,0.221
2019,1221,177,0.145,0.306,0.283
2020,1485,269,0.181,0.216,0.52
2021,2903,659,0.227,0.955,1.45
2022,3601,689,0.191,0.24,0.046
2023,3072,575,0.187,-0.147,-0.165
2024,2479,288,0.116,-0.193,-0.499
2025,2961,446,0.151,0.194,0.549
