nearest_gmb,latest_year,total_leads,google_leads,google_share,yoy_total,yoy_google,cagr_total_2022_2025,cagr_google_2022_2025,google_leads_adjacent,google_leads_core,total_leads_adjacent,total_leads_core
"Lindenwold, NJ",2025,955,132,0.138,0.021,0.833,-0.06276508133128467,-0.04802071092622162,67,65,608,347
"North Wales, PA",2025,896,115,0.128,-0.052,0.797,0.0868030845247767,-0.027411173781143994,58,57,417,479
"West Chester, PA",2025,818,81,0.099,0.081,0.976,-0.024059043989460127,-0.09697984313681285,36,45,415,403
"Hillsborough Township, NJ",2025,722,122,0.169,0.22,0.271,-0.056269456097452486,-0.11996029543381614,94,28,576,146
"Mount Laurel Township, NJ",2025,680,118,0.174,0.149,0.844,-0.06503534032830482,-0.03423772408967285,51,67,208,472
"Media, PA",2025,627,73,0.116,0.096,0.921,-0.07413681312737486,-0.10257018170612775,45,28,387,240
"Wilmington, DE",2025,571,97,0.17,0.077,0.865,-0.10104520335292178,-0.06847003547851538,55,42,321,250
"Bethlehem, PA",2025,521,106,0.203,0.472,0.218,0.1280032893509,-0.03237591934456241,36,70,165,356
"Allentown, PA",2025,501,106,0.212,0.262,0.413,0.03414120142450683,-0.015246282826599789,63,43,332,169
"Langhorne, PA",2025,447,82,0.183,0.284,1.485,-0.06508226351783075,-0.04786890430762636,47,35,271,176
"NE Philadelphia, PA",2025,304,36,0.118,0.147,0.333,-0.1394322471533479,-0.23047074225898279,20,16,168,136
"Doylestown, PA",2025,287,42,0.146,-0.027,2.0,-0.029525601785322597,-0.007812819162562712,11,31,76,211
"Trenton, NJ",2025,250,54,0.216,-0.071,0.256,-0.1377660203888823,-0.05505921257884516,37,17,176,74
"Bowmansville, PA",2025,234,61,0.261,0.293,1.103,-0.15512062060181875,-0.17082025297013814,41,20,182,52
"Pennington, NJ",2025,228,42,0.184,0.056,0.4,-0.1114459950957184,-0.06266887573435875,21,21,141,87
"South Philadelphia, PA",2025,207,38,0.184,0.389,1.111,-0.13059941004754339,-0.04036728089418129,31,7,170,37
"Lancaster, PA",2025,108,27,0.25,0.521,1.077,-0.24404737006307609,-0.15022549758594284,13,14,51,57
