Year,total_leads,google_leads,google_share,yoy_total,yoy_google
2003,589,9,0.015280135823429542,,
2004,1063,13,0.012229539040451553,0.8047538200339559,0.4444444444444444
2005,1071,17,0.015873015873015872,0.007525870178739513,0.3076923076923077
2006,1500,33,0.022,0.40056022408963576,0.9411764705882353
2007,1898,48,0.02528977871443625,0.2653333333333334,0.4545454545454546
2008,2034,50,0.024582104228121928,0.07165437302423605,0.04166666666666674
2009,1069,48,0.04490177736202058,-0.47443461160275324,-0.040000000000000036
2010,1249,77,0.06164931945556445,0.16838166510757713,0.6041666666666667
2011,1526,97,0.063564875491481,0.22177742193755012,0.2597402597402598
2012,1806,186,0.10299003322259136,0.1834862385321101,0.9175257731958764
2013,1857,333,0.17932148626817448,0.028239202657807327,0.7903225806451613
2014,1767,239,0.1352574985851726,-0.0484652665589661,-0.28228228228228225
2015,1529,289,0.18901242642249835,-0.13469156762874934,0.20920502092050208
2016,1822,380,0.20856201975850713,0.19162851536952252,0.31487889273356395
2017,2124,486,0.2288135593220339,0.16575192096597147,0.2789473684210526
2018,2725,478,0.17541284403669724,0.2829566854990584,-0.016460905349794275
2019,3598,755,0.20983879933296276,0.32036697247706414,0.5794979079497908
2020,4801,882,0.18371172672359926,0.3343524180100055,0.16821192052980138
2021,7604,1548,0.203577064702788,0.5838367006873568,0.7551020408163265
2022,9827,1673,0.1702452426986873,0.2923461336138875,0.08074935400516803
2023,8225,1377,0.16741641337386018,-0.16302025033072143,-0.17692767483562466
2024,7468,796,0.10658810926620246,-0.09203647416413374,-0.42193173565722586
2025,8356,1332,0.1594064145524174,0.11890733797536157,0.6733668341708543
