Year,total_leads_near,google_leads_near,google_share_near,yoy_total_near,yoy_google_near,total_leads_control,google_leads_control,google_share_control,yoy_total_control,yoy_google_control
2016,1822,380,0.2085620197585071,0.1916285153695225,0.3148788927335639,452,79,0.175,0.222,0.362
2017,2124,486,0.2288135593220339,0.1657519209659714,0.2789473684210526,558,113,0.203,0.235,0.43
2018,2725,478,0.1754128440366972,0.2829566854990584,-0.0164609053497942,935,138,0.148,0.676,0.221
2019,3598,755,0.2098387993329627,0.3203669724770641,0.5794979079497908,1221,177,0.145,0.306,0.283
2020,4801,882,0.1837117267235992,0.3343524180100055,0.1682119205298013,1485,269,0.181,0.216,0.52
2021,7604,1548,0.203577064702788,0.5838367006873568,0.7551020408163265,2903,659,0.227,0.955,1.45
2022,9827,1673,0.1702452426986873,0.2923461336138875,0.080749354005168,3601,689,0.191,0.24,0.046
2023,8225,1377,0.1674164133738601,-0.1630202503307214,-0.1769276748356246,3072,575,0.187,-0.147,-0.165
2024,7468,796,0.1065881092662024,-0.0920364741641337,-0.4219317356572258,2479,288,0.116,-0.193,-0.499
2025,8356,1332,0.1594064145524174,0.1189073379753615,0.6733668341708543,2961,446,0.151,0.194,0.549
