gmb_name,first_lead_year,first_google_year
"Allentown, PA",2008,2009
"Bethlehem, PA",2008,2011
"Bowmansville, PA",2004,2009
"Doylestown, PA",2008,2008
"Hillsborough Township, NJ",2009,2012
"Lancaster, PA",2012,2016
"Langhorne, PA",2008,2008
"Lindenwold, NJ",2009,2012
"Media, PA",2003,2003
"Mount Laurel Township, NJ",2009,2010
"NE Philadelphia, PA",2003,2008
"North Wales, PA",2003,2006
"Pennington, NJ",2008,2010
"South Philadelphia, PA",2003,2004
"Trenton, NJ",2009,2011
"West Chester, PA",2003,2003
"Wilmington, DE",2003,2006
