nearest_gmb,top_zips_2025
"Allentown, PA","18104 (70/19), 18062 (45/7), 18103 (42/11)"
"Bethlehem, PA","18020 (98/23), 18045 (88/14), 18064 (84/17)"
"Bowmansville, PA","19608 (28/8), 19606 (27/5), 17517 (25/13)"
"Doylestown, PA","18914 (68/10), 18976 (54/5), 18902 (35/4)"
"Hillsborough Township, NJ","08844 (93/22), 08854 (69/5), 08852 (62/2)"
"Lancaster, PA","17601 (33/7), 17543 (21/3), 17603 (9/4)"
"Langhorne, PA","19067 (91/20), 18940 (88/4), 18966 (55/13)"
"Lindenwold, NJ","08081 (258/17), 08094 (136/11), 08043 (119/18)"
"Media, PA","19087 (73/7), 19014 (67/3), 19063 (55/8)"
"Mount Laurel Township, NJ","08054 (138/13), 08053 (132/18), 08003 (89/15)"
"NE Philadelphia, PA","19115 (33/4), 19006 (28/3), 19038 (21/2)"
"North Wales, PA","19446 (200/18), 19002 (89/13), 19454 (87/11)"
"Pennington, NJ","08540 (71/11), 08534 (31/7), 08648 (24/6)"
"South Philadelphia, PA","19096 (39/3), 08051 (17/3), 19072 (14/4)"
"Trenton, NJ","08550 (49/12), 08690 (34/4), 08520 (30/4)"
"West Chester, PA","19380 (219/22), 19382 (147/20), 19335 (126/17)"
"Wilmington, DE","19810 (93/11), 19711 (51/13), 19803 (51/15)"
