nearest_gmb,segment,Postal Code,total_leads,google_leads,google_share
"Allentown, PA",adjacent,18011,23,6,0.261
"Allentown, PA",adjacent,18015,104,26,0.25
"Allentown, PA",adjacent,18031,170,41,0.241
"Allentown, PA",adjacent,18034,159,32,0.201
"Allentown, PA",adjacent,18036,158,32,0.203
"Allentown, PA",adjacent,18036-8822,1,0,0.0
"Allentown, PA",adjacent,18037,57,18,0.316
"Allentown, PA",adjacent,18049,111,31,0.279
"Allentown, PA",adjacent,18051,94,17,0.181
"Allentown, PA",adjacent,18056,1,0,0.0
"Allentown, PA",adjacent,18059,27,6,0.222
"Allentown, PA",adjacent,18062,271,51,0.188
"Allentown, PA",adjacent,18065,1,0,0.0
"Allentown, PA",adjacent,18066,44,6,0.136
"Allentown, PA",adjacent,18067,138,39,0.283
"Allentown, PA",adjacent,18068,1,1,1.0
"Allentown, PA",adjacent,18069,154,22,0.143
"Allentown, PA",adjacent,18078,159,27,0.17
"Allentown, PA",adjacent,18080,68,11,0.162
"Allentown, PA",adjacent,18087,5,1,0.2
"Allentown, PA",adjacent,18088,38,10,0.263
"Allentown, PA",adjacent,18092,30,3,0.1
"Allentown, PA",adjacent,18106,77,14,0.182
"Allentown, PA",adjacent,18951-4003,1,0,0.0
"Allentown, PA",adjacent,19539,18,6,0.333
"Allentown, PA",core,18032,57,12,0.211
"Allentown, PA",core,18052,156,44,0.282
"Allentown, PA",core,18102,18,5,0.278
"Allentown, PA",core,18103,227,64,0.282
"Allentown, PA",core,18104,368,86,0.234
"Allentown, PA",core,18109,36,12,0.333
"Bethlehem, PA",adjacent,08865,113,30,0.265
"Bethlehem, PA",adjacent,18014,104,21,0.202
"Bethlehem, PA",adjacent,18015-5051,1,1,1.0
"Bethlehem, PA",adjacent,18039,3,1,0.333
"Bethlehem, PA",adjacent,18040,224,59,0.263
"Bethlehem, PA",adjacent,18042,96,29,0.302
"Bethlehem, PA",adjacent,18046,1,0,0.0
"Bethlehem, PA",adjacent,18055,105,21,0.2
"Bethlehem, PA",adjacent,18072,10,2,0.2
"Bethlehem, PA",adjacent,18077,22,4,0.182
"Bethlehem, PA",adjacent,18081,4,1,0.25
"Bethlehem, PA",adjacent,18083,2,0,0.0
"Bethlehem, PA",adjacent,18091,24,6,0.25
"Bethlehem, PA",core,18016,1,1,1.0
"Bethlehem, PA",core,18017,400,98,0.245
"Bethlehem, PA",core,18017-1073,1,0,0.0
"Bethlehem, PA",core,18017-5327,1,0,0.0
"Bethlehem, PA",core,18018,93,38,0.409
"Bethlehem, PA",core,18018-3709,1,0,0.0
"Bethlehem, PA",core,18020,385,102,0.265
"Bethlehem, PA",core,18020-8811,1,0,0.0
"Bethlehem, PA",core,18020-9588,1,1,1.0
"Bethlehem, PA",core,18045,356,86,0.242
"Bethlehem, PA",core,18064,375,93,0.248
"Bowmansville, PA",adjacent,17517-9691,1,0,0.0
"Bowmansville, PA",adjacent,17522,114,48,0.421
"Bowmansville, PA",adjacent,17528,1,0,0.0
"Bowmansville, PA",adjacent,17557,51,10,0.196
"Bowmansville, PA",adjacent,17569,30,7,0.233
"Bowmansville, PA",adjacent,17578,25,11,0.44
"Bowmansville, PA",adjacent,19344,139,22,0.158
"Bowmansville, PA",adjacent,19508,113,29,0.257
"Bowmansville, PA",adjacent,19520,75,9,0.12
"Bowmansville, PA",adjacent,19543,114,26,0.228
"Bowmansville, PA",adjacent,19551,30,4,0.133
"Bowmansville, PA",adjacent,19565,42,10,0.238
"Bowmansville, PA",adjacent,19601,17,2,0.118
"Bowmansville, PA",adjacent,19602,5,1,0.2
"Bowmansville, PA",adjacent,19606,188,49,0.261
"Bowmansville, PA",adjacent,19606-3420,1,0,0.0
"Bowmansville, PA",adjacent,19607,92,25,0.272
"Bowmansville, PA",adjacent,19608,224,45,0.201
"Bowmansville, PA",adjacent,19609,39,15,0.385
"Bowmansville, PA",adjacent,19610,74,19,0.257
"Bowmansville, PA",adjacent,19611,11,2,0.182
"Bowmansville, PA",core,17517,120,49,0.408
"Bowmansville, PA",core,17519,47,10,0.213
"Bowmansville, PA",core,17555,29,11,0.379
"Bowmansville, PA",core,17581,1,0,0.0
"Bowmansville, PA",core,19501,6,2,0.333
"Bowmansville, PA",core,19540,86,22,0.256
"Doylestown, PA",adjacent,18910,1,1,1.0
"Doylestown, PA",adjacent,18913,4,1,0.25
"Doylestown, PA",adjacent,18917,14,2,0.143
"Doylestown, PA",adjacent,18924,1,0,0.0
"Doylestown, PA",adjacent,18931,1,0,0.0
"Doylestown, PA",adjacent,18933,1,0,0.0
"Doylestown, PA",adjacent,18938,186,33,0.177
"Doylestown, PA",adjacent,18942,29,5,0.172
"Doylestown, PA",adjacent,18944,192,36,0.188
"Doylestown, PA",adjacent,18947,57,10,0.175
"Doylestown, PA",adjacent,18949,1,0,0.0
"Doylestown, PA",adjacent,18950,1,0,0.0
"Doylestown, PA",adjacent,18962,4,1,0.25
"Doylestown, PA",adjacent,18974,347,48,0.138
"Doylestown, PA",adjacent,18974-2504,1,1,1.0
"Doylestown, PA",core,18901,192,28,0.146
"Doylestown, PA",core,18902,270,30,0.111
"Doylestown, PA",core,18912,2,1,0.5
"Doylestown, PA",core,18914,324,46,0.142
"Doylestown, PA",core,18923,9,3,0.333
"Doylestown, PA",core,18925,61,4,0.066
"Doylestown, PA",core,18929,127,19,0.15
"Doylestown, PA",core,18934,4,1,0.25
"Doylestown, PA",core,18976,278,39,0.14
"Hillsborough Township, NJ",adjacent,07059,257,60,0.233
"Hillsborough Township, NJ",adjacent,07920-3825,1,0,0.0
"Hillsborough Township, NJ",adjacent,07921,2,1,0.5
"Hillsborough Township, NJ",adjacent,08092,1,1,1.0
"Hillsborough Township, NJ",adjacent,08512-2140,1,0,0.0
"Hillsborough Township, NJ",adjacent,08528,2,0,0.0
"Hillsborough Township, NJ",adjacent,08553,3,1,0.333
"Hillsborough Township, NJ",adjacent,08558,171,40,0.234
"Hillsborough Township, NJ",adjacent,08805,44,11,0.25
"Hillsborough Township, NJ",adjacent,08807,459,78,0.17
"Hillsborough Township, NJ",adjacent,08807-1414,1,0,0.0
"Hillsborough Township, NJ",adjacent,08810,122,18,0.148
"Hillsborough Township, NJ",adjacent,08812,110,18,0.164
"Hillsborough Township, NJ",adjacent,08822,414,74,0.179
"Hillsborough Township, NJ",adjacent,08823,59,11,0.186
"Hillsborough Township, NJ",adjacent,08824,222,26,0.117
"Hillsborough Township, NJ",adjacent,08836,46,9,0.196
"Hillsborough Township, NJ",adjacent,08846,85,19,0.224
"Hillsborough Township, NJ",adjacent,08850,73,10,0.137
"Hillsborough Township, NJ",adjacent,08852,278,29,0.104
"Hillsborough Township, NJ",adjacent,08853,93,18,0.194
"Hillsborough Township, NJ",adjacent,08854,502,83,0.165
"Hillsborough Township, NJ",adjacent,08869,43,9,0.209
"Hillsborough Township, NJ",adjacent,08873,506,87,0.172
"Hillsborough Township, NJ",adjacent,08873-****,1,1,1.0
"Hillsborough Township, NJ",adjacent,08876,177,42,0.237
"Hillsborough Township, NJ",adjacent,08887,5,0,0.0
"Hillsborough Township, NJ",adjacent,08889,115,17,0.148
"Hillsborough Township, NJ",adjacent,08901,22,8,0.364
"Hillsborough Township, NJ",adjacent,08902,326,40,0.123
"Hillsborough Township, NJ",adjacent,08902-1079,1,0,0.0
"Hillsborough Township, NJ",adjacent,08904,39,5,0.128
"Hillsborough Township, NJ",core,08502,330,52,0.158
"Hillsborough Township, NJ",core,08502-5846,1,0,0.0
"Hillsborough Township, NJ",core,08835,41,15,0.366
"Hillsborough Township, NJ",core,08844,667,151,0.226
"Hillsborough Township, NJ",core,08844-1101,1,0,0.0
"Hillsborough Township, NJ",core,08880,18,6,0.333
"Lancaster, PA",adjacent,17055,3,1,0.333
"Lancaster, PA",adjacent,17368,1,0,0.0
"Lancaster, PA",adjacent,17501,11,4,0.364
"Lancaster, PA",adjacent,17505,3,0,0.0
"Lancaster, PA",adjacent,17508,2,0,0.0
"Lancaster, PA",adjacent,17512,26,5,0.192
"Lancaster, PA",adjacent,17516,2,0,0.0
"Lancaster, PA",adjacent,17529,6,1,0.167
"Lancaster, PA",adjacent,17534,2,0,0.0
"Lancaster, PA",adjacent,17538,24,9,0.375
"Lancaster, PA",adjacent,17540,22,6,0.273
"Lancaster, PA",adjacent,17542,1,0,0.0
"Lancaster, PA",adjacent,17543,147,30,0.204
"Lancaster, PA",adjacent,17545,35,9,0.257
"Lancaster, PA",adjacent,17562,6,3,0.5
"Lancaster, PA",adjacent,17572,8,1,0.125
"Lancaster, PA",adjacent,17579,22,7,0.318
"Lancaster, PA",core,17520,15,3,0.2
"Lancaster, PA",core,17551,6,1,0.167
"Lancaster, PA",core,17584,4,0,0.0
"Lancaster, PA",core,17601,154,27,0.175
"Lancaster, PA",core,17602,45,14,0.311
"Lancaster, PA",core,17603,86,22,0.256
"Langhorne, PA",adjacent,08016,280,50,0.179
"Langhorne, PA",adjacent,08518,49,7,0.143
"Langhorne, PA",adjacent,08554,9,1,0.111
"Langhorne, PA",adjacent,08821,1,0,0.0
"Langhorne, PA",adjacent,18940,486,67,0.138
"Langhorne, PA",adjacent,18940-1251,1,0,0.0
"Langhorne, PA",adjacent,18954,224,36,0.161
"Langhorne, PA",adjacent,18966,494,88,0.178
"Langhorne, PA",adjacent,19007,51,9,0.176
"Langhorne, PA",adjacent,19020,459,65,0.142
"Langhorne, PA",adjacent,19021,21,3,0.143
"Langhorne, PA",adjacent,19053,211,36,0.171
"Langhorne, PA",core,19030,75,14,0.187
"Langhorne, PA",core,19047,341,56,0.164
"Langhorne, PA",core,19054,91,16,0.176
"Langhorne, PA",core,19055,59,27,0.458
"Langhorne, PA",core,19056,79,17,0.215
"Langhorne, PA",core,19057,57,13,0.228
"Langhorne, PA",core,19065,1,0,0.0
"Langhorne, PA",core,19067,836,166,0.199
"Lindenwold, NJ",adjacent,00008,1,0,0.0
"Lindenwold, NJ",adjacent,00808,1,0,0.0
"Lindenwold, NJ",adjacent,08004,105,27,0.257
"Lindenwold, NJ",adjacent,08028,167,25,0.15
"Lindenwold, NJ",adjacent,08032,4,1,0.25
"Lindenwold, NJ",adjacent,08035,42,5,0.119
"Lindenwold, NJ",adjacent,08062-2866,1,0,0.0
"Lindenwold, NJ",adjacent,08071,44,10,0.227
"Lindenwold, NJ",adjacent,08080,674,99,0.147
"Lindenwold, NJ",adjacent,08081,1719,139,0.081
"Lindenwold, NJ",adjacent,08081-3427,1,0,0.0
"Lindenwold, NJ",adjacent,08089,24,5,0.208
"Lindenwold, NJ",adjacent,08090,93,16,0.172
"Lindenwold, NJ",adjacent,08094,970,62,0.064
"Lindenwold, NJ",adjacent,08096,262,55,0.21
"Lindenwold, NJ",adjacent,08312,147,15,0.102
"Lindenwold, NJ",core,00000,1,0,0.0
"Lindenwold, NJ",core,08003-1985,1,0,0.0
"Lindenwold, NJ",core,08003-3140,1,0,0.0
"Lindenwold, NJ",core,08003-5137,1,0,0.0
"Lindenwold, NJ",core,08007,23,7,0.304
"Lindenwold, NJ",core,08009,250,30,0.12
"Lindenwold, NJ",core,08012,436,65,0.149
"Lindenwold, NJ",core,08021,302,55,0.182
"Lindenwold, NJ",core,08026,29,11,0.379
"Lindenwold, NJ",core,08029,51,14,0.275
"Lindenwold, NJ",core,08043,634,113,0.178
"Lindenwold, NJ",core,08043-2985,1,0,0.0
"Lindenwold, NJ",core,08043-3427,1,0,0.0
"Lindenwold, NJ",core,08045,25,8,0.32
"Lindenwold, NJ",core,08049,37,4,0.108
"Lindenwold, NJ",core,08078,25,6,0.24
"Lindenwold, NJ",core,08081-9751,1,1,1.0
"Lindenwold, NJ",core,08083,110,17,0.155
"Lindenwold, NJ",core,08084,63,17,0.27
"Lindenwold, NJ",core,08091,74,12,0.162
"Media, PA",adjacent,08014,1,0,0.0
"Media, PA",adjacent,08323,2,1,0.5
"Media, PA",adjacent,19003,218,15,0.069
"Media, PA",adjacent,19008-1522,1,0,0.0
"Media, PA",adjacent,19010,885,85,0.096
"Media, PA",adjacent,19010-1011,1,0,0.0
"Media, PA",adjacent,19026,317,49,0.155
"Media, PA",adjacent,19028,3,0,0.0
"Media, PA",adjacent,19032,23,3,0.13
"Media, PA",adjacent,19041,236,23,0.097
"Media, PA",adjacent,19058,1,0,0.0
