nearest_gmb,segment,Year,total_leads,google_leads,google_share,yoy_total,yoy_google
"Allentown, PA",adjacent,2008,8,0,0.0,,
"Allentown, PA",adjacent,2009,3,1,0.333,-0.625,inf
"Allentown, PA",adjacent,2010,9,1,0.111,2.0,0.0
"Allentown, PA",adjacent,2011,9,1,0.111,0.0,0.0
"Allentown, PA",adjacent,2012,19,1,0.053,1.111,0.0
"Allentown, PA",adjacent,2013,35,4,0.114,0.842,3.0
"Allentown, PA",adjacent,2014,24,4,0.167,-0.314,0.0
"Allentown, PA",adjacent,2015,28,6,0.214,0.167,0.5
"Allentown, PA",adjacent,2016,32,7,0.219,0.143,0.167
"Allentown, PA",adjacent,2017,55,12,0.218,0.719,0.714
"Allentown, PA",adjacent,2018,58,15,0.259,0.055,0.25
"Allentown, PA",adjacent,2019,75,17,0.227,0.293,0.133
"Allentown, PA",adjacent,2020,143,28,0.196,0.907,0.647
"Allentown, PA",adjacent,2021,241,59,0.245,0.685,1.107
"Allentown, PA",adjacent,2022,293,63,0.215,0.216,0.068
"Allentown, PA",adjacent,2023,266,61,0.229,-0.092,-0.032
"Allentown, PA",adjacent,2024,280,57,0.204,0.053,-0.066
"Allentown, PA",adjacent,2025,332,63,0.19,0.186,0.105
"Allentown, PA",core,2008,1,0,0.0,,
"Allentown, PA",core,2009,1,0,0.0,0.0,
"Allentown, PA",core,2010,1,0,0.0,0.0,
"Allentown, PA",core,2011,2,0,0.0,1.0,
"Allentown, PA",core,2012,4,1,0.25,1.0,inf
"Allentown, PA",core,2013,3,0,0.0,-0.25,-1.0
"Allentown, PA",core,2014,15,2,0.133,4.0,inf
"Allentown, PA",core,2015,19,5,0.263,0.267,1.5
"Allentown, PA",core,2016,16,8,0.5,-0.158,0.6
"Allentown, PA",core,2017,22,10,0.455,0.375,0.25
"Allentown, PA",core,2018,34,6,0.176,0.545,-0.4
"Allentown, PA",core,2019,39,11,0.282,0.147,0.833
"Allentown, PA",core,2020,52,14,0.269,0.333,0.273
"Allentown, PA",core,2021,87,28,0.322,0.673,1.0
"Allentown, PA",core,2022,160,48,0.3,0.839,0.714
"Allentown, PA",core,2023,120,29,0.242,-0.25,-0.396
"Allentown, PA",core,2024,117,18,0.154,-0.025,-0.379
"Allentown, PA",core,2025,169,43,0.254,0.444,1.389
"Bethlehem, PA",adjacent,2010,1,0,0.0,,
"Bethlehem, PA",adjacent,2011,3,2,0.667,2.0,inf
"Bethlehem, PA",adjacent,2012,4,1,0.25,0.333,-0.5
