geoid,city
34019011400,Flemington borough
34019011900,Lambertville city
34021001800,Trenton city
34021002000,Trenton city
34021003602,Ewing township
34021002602,Hamilton township
34021000200,Trenton city
34025809704,Marlboro township
34025800702,Middletown township
34025804200,Little Silver borough
34025810001,Manalapan township
34025806400,Ocean township
34033021900,Salem city
34033020200,Penns Grove borough
34033020500,Carneys Point township
34035053105,Franklin township
34035051700,North Plainfield borough
34035051400,Manville borough
34035052002,North Plainfield borough
34035053000,South Bound Brook borough
34039030600,Elizabeth city
34039033900,Roselle Park borough
34039031400,Elizabeth city
34039038800,Plainfield city
34039034100,Roselle borough
34039033300,Union township
34039039700,Plainfield city
34007603700,Cherry Hill township
34007605300,Brooklawn borough
34007607300,Magnolia borough
34007600900,Camden city
34007603603,Cherry Hill township
34001010102,Brigantine city
34001002300,Atlantic City city
34001012501,Linwood city
34015500800,Wenonah borough
34015501204,Washington township
34015500204,West Deptford township
34023007906,Old Bridge township
34023007905,Old Bridge township
34023004100,Perth Amboy city
34023001414,Edison township
34023002302,Woodbridge township
34023003101,Woodbridge township
34023007600,South Amboy city
34023006605,East Brunswick township
34023005700,New Brunswick city
34023008207,Monroe township
34013016800,Montclair township
34013017100,Montclair township
34013000100,Newark city
34013001400,Newark city
34013002600,Newark city
34013004801,Newark city
34013006600,Newark city
34013000400,Newark city
34013010000,East Orange city
34013009900,East Orange city
34013010700,East Orange city
34013012600,Irvington township
34013020700,Livingston township
34013016200,Montclair township
34013009100,Newark city
34013013400,Nutley township
34013021802,West Caldwell township
34017004600,Jersey City city
34017004800,Jersey City city
34017012300,Kearny town
34017016100,Union City city
34017016900,Union City city
34017017700,Union City city
34017015700,West New York town
34017016000,West New York town
34017018900,Hoboken city
34017000800,Jersey City city
34029713401,Brick township
34029713600,Brick township
34029714100,Brick township
34029722900,Toms River township
34029713402,Brick township
34029717002,Jackson township
34029720204,Manchester township
34029731202,Berkeley township
34027043000,Madison borough
34027043302,Morris township
34027041801,Parsippany-Troy Hills township
34027044300,Rockaway borough
34041031102,Frelinghuysen township
34041032000,Washington borough
34003033100,Maywood borough
34003019102,Fort Lee borough
34003020200,Franklin Lakes borough
34003031300,Lyndhurst township
34003047100,Ridgewood village
34003011200,Elmwood Park borough
34003057101,Wallington borough
34031183200,Paterson city
34031125100,Clifton city
34031182400,Paterson city
34037373200,Sparta township
34037374700,Hopatcong borough
34037373300,Sparta township
34005701302,Florence township
34005702808,Willingboro township
34005702909,Mount Laurel township
34005702809,Willingboro township
34005702300,Pemberton borough
34005702802,Willingboro township
34005702804,Willingboro township
34035053603,Branchburg township
34039030701,Elizabeth city
34023009400,East Brunswick township
34017006400,Jersey City city
34017015802,West New York town
34007608303,Gloucester township
34007608304,Gloucester township
34007610400,Camden city
34015502001,Harrison township
34011010402,Fairfield township
34025803201,Holmdel township
34001983400,Galloway township
34029715902,Lakewood township
34021004502,Princeton
34005702210,Pemberton township
34003019204,Fort Lee borough
34003019306,Fort Lee borough
34003041302,Palisades Park borough
34031182302,Paterson city
34017005901,Jersey City city
34017007701,Jersey City city
34017007702,Jersey City city
34017014401,North Bergen township
34017002002,Jersey City city
34017004103,Jersey City city
34017018502,Hoboken city
34017007002,Jersey City city
34003006302,Cliffside Park borough
34003006101,Cliffside Park borough
34003018101,Fairview borough
34003023201,Hackensack city
34003030401,Lodi borough
34003060001,Wood-Ridge borough
34039038701,Fanwood borough
34039032004,Elizabeth city
34039032101,Elizabeth city
34025800101,Highlands borough
34025807005,Asbury Park city
34031143401,Hawthorne borough
34031196404,Pompton Lakes borough
34031180203,Paterson city
34027043601,Morristown town
34027046108,Mount Olive township
34029728003,Seaside Heights borough
34029715501,Lakewood township
34029715502,Lakewood township
34021003304,Lawrence township
34021004313,West Windsor township
34023007305,Sayreville borough
34023003802,Carteret borough
34023007704,Old Bridge township
34023004600,Perth Amboy city
34023004800,Perth Amboy city
34023003001,Woodbridge township
34023000801,South Plainfield borough
34023000901,South Plainfield borough
34023002703,Woodbridge township
34023002605,Woodbridge township
34023002901,Woodbridge township
34023007303,Sayreville borough
34023001200,Highland Park borough
34023006606,East Brunswick township
34023006608,East Brunswick township
34023001903,Edison township
34023002000,Metuchen borough
34023002200,Metuchen borough
34023005200,New Brunswick city
34013017000,Montclair township
34013000200,Newark city
34013022700,Newark city
34013001600,Newark city
34013002800,Newark city
34013003900,Newark city
34013004900,Newark city
34013022800,Newark city
34013006800,Newark city
34013007502,Newark city
34013000300,Newark city
34013013900,Nutley township
34013000600,Newark city
34013015100,Bloomfield township
34013015700,Bloomfield township
34013018100,City of Orange township
34013010300,East Orange city
34013010800,East Orange city
34013011200,East Orange city
34013004300,Newark city
34013012800,Irvington township
